Timestamp,Filename,Prompt,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,FPS (Video),FPS (Eval),Frames,Resolution,Duration
2025-08-13 15:52:54,animation-0000.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3307,18.6754,0.8955,0.6545,8.00,1,24,256x192,3.00 sec
2025-08-13 15:53:02,animation-0001.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3324,18.4465,0.9222,0.6576,8.00,1,24,256x192,3.00 sec
2025-08-13 15:53:32,animation-0002.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3334,18.6888,0.92,0.6579,8.00,1,24,256x192,3.00 sec
2025-08-13 15:53:42,animation-0003.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3456,18.7129,0.9446,0.6471,8.00,1,24,256x192,3.00 sec
2025-08-13 15:54:04,animation-0004.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3171,18.1207,0.9234,0.6712,8.00,1,24,256x192,3.00 sec
2025-08-13 15:54:13,animation-0005.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3141,18.1011,0.9272,0.6774,8.00,1,24,256x192,3.00 sec
