Timestamp,Filename,Prompt,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,FPS (Video),FPS (Eval),Frames,Resolution,Duration
2025-08-13 15:48:18,animation-0000.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.2978,18.3584,0.8741,0.6899,8.00,1,24,256x192,3.00 sec
2025-08-13 15:48:27,animation-0001.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3383,18.8244,0.9019,0.6507,8.00,1,24,256x192,3.00 sec
2025-08-13 15:48:37,animation-0002.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3062,17.9081,0.8946,0.682,8.00,1,24,256x192,3.00 sec
2025-08-13 15:48:55,animation-0003.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3244,18.8657,0.884,0.6631,8.00,1,24,256x192,3.00 sec
2025-08-13 15:49:13,animation-0004.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.2927,17.7503,0.9303,0.6994,8.00,1,24,256x192,3.00 sec
2025-08-13 15:49:30,animation-0005.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3045,18.5866,0.9094,0.6868,8.00,1,24,256x192,3.00 sec
