timestamp,ram_used_MiB,ram_total_MiB
2025-08-13 22:26:49,28351,515238
2025-08-13 22:26:51,28384,515238
2025-08-13 22:26:52,28400,515238
2025-08-13 22:26:53,28403,515238
2025-08-13 22:26:54,28452,515238
2025-08-13 22:26:55,28479,515238
2025-08-13 22:26:56,28474,515238
2025-08-13 22:26:57,28535,515238
2025-08-13 22:26:58,28546,515238
2025-08-13 22:26:59,28534,515238
2025-08-13 22:27:00,28577,515238
2025-08-13 22:27:01,28605,515238
2025-08-13 22:27:02,28586,515238
2025-08-13 22:27:03,28628,515238
2025-08-13 22:27:04,28630,515238
2025-08-13 22:27:05,28618,515238
2025-08-13 22:27:06,28652,515238
2025-08-13 22:27:07,28665,515238
2025-08-13 22:27:08,28649,515238
2025-08-13 22:27:09,28684,515238
2025-08-13 22:27:10,28699,515238
2025-08-13 22:27:11,28750,515238
2025-08-13 22:27:12,28751,515238
2025-08-13 22:27:13,28751,515238
2025-08-13 22:27:14,28752,515238
2025-08-13 22:27:15,28752,515238
2025-08-13 22:27:16,28752,515238
2025-08-13 22:27:17,28753,515238
2025-08-13 22:27:18,28820,515238
2025-08-13 22:27:19,28884,515238
2025-08-13 22:27:20,29819,515238
2025-08-13 22:27:21,30835,515238
2025-08-13 22:27:22,31870,515238
2025-08-13 22:27:23,32792,515238
2025-08-13 22:27:24,33782,515238
2025-08-13 22:27:25,34807,515238
2025-08-13 22:27:26,35855,515238
2025-08-13 22:27:27,36876,515238
2025-08-13 22:27:28,35444,515238
2025-08-13 22:27:29,36016,515238
2025-08-13 22:27:30,36189,515238
2025-08-13 22:27:31,36271,515238
2025-08-13 22:27:32,36396,515238
2025-08-13 22:27:33,36511,515238
2025-08-13 22:27:34,36669,515238
2025-08-13 22:27:35,36807,515238
2025-08-13 22:27:36,36955,515238
2025-08-13 22:27:37,34927,515238
2025-08-13 22:27:38,31903,515238
2025-08-13 22:27:39,33369,515238
2025-08-13 22:27:40,35036,515238
2025-08-13 22:27:41,36380,515238
2025-08-13 22:27:42,37641,515238
2025-08-13 22:27:43,39241,515238
